Wollongong|2017-01-01|Winter|12.0|14.0|61.0
Gold Coast|2017-01-01|Sunny|28.0|13.0|54.0
Hobart|2017-01-01|Rainy|16.0|14.0|63.0
Canberra|2017-01-01|Rainy|11.0|18.0|55.0
Darwin|2017-01-01|Sunny|31.0|34.0|66.0
Sydney|2017-01-01|Sunny|24.0|33.0|49.0
Melbourne|2017-01-01|Winter|17.0|32.0|66.0
Adelaide|2017-01-01|Winter|15.0|33.0|54.0
Brisbane|2017-01-01|Winter|15.0|5.0|49.0
Perth|2017-01-01|Winter|16.0|9.0|47.0
Wollongong|2017-01-02|Winter|20.0|31.0|44.0
Gold Coast|2017-01-02|Winter|18.0|20.0|52.0
Hobart|2017-01-02|Rainy|14.0|23.0|49.0
Canberra|2017-01-02|Winter|19.0|26.0|59.0
Darwin|2017-01-02|Sunny|18.0|25.0|47.0
Sydney|2017-01-02|Winter|10.0|25.0|45.0
Melbourne|2017-01-02|Winter|15.0|4.0|59.0
Adelaide|2017-01-02|Winter|19.0|17.0|64.0
Brisbane|2017-01-02|Rainy|19.0|23.0|62.0
Perth|2017-01-02|Rainy|20.0|16.0|50.0
Wollongong|2017-01-03|Sunny|20.0|25.0|47.0
Gold Coast|2017-01-03|Sunny|32.0|28.0|59.0
Hobart|2017-01-03|Sunny|27.0|2.0|59.0
Canberra|2017-01-03|Winter|14.0|19.0|55.0
Darwin|2017-01-03|Rainy|19.0|22.0|47.0
Sydney|2017-01-03|Rainy|18.0|34.0|65.0
Melbourne|2017-01-03|Sunny|17.0|32.0|66.0
Adelaide|2017-01-03|Sunny|22.0|17.0|68.0
Brisbane|2017-01-03|Winter|19.0|17.0|48.0
Perth|2017-01-03|Winter|12.0|7.0|57.0
Wollongong|2017-01-04|Rainy|18.0|24.0|48.0
Gold Coast|2017-01-04|Rainy|15.0|25.0|67.0
Hobart|2017-01-04|Rainy|19.0|23.0|49.0
Canberra|2017-01-04|Winter|17.0|17.0|57.0
Darwin|2017-01-04|Sunny|21.0|27.0|44.0
Sydney|2017-01-04|Rainy|14.0|19.0|63.0
Melbourne|2017-01-04|Winter|14.0|35.0|62.0
Adelaide|2017-01-04|Rainy|17.0|24.0|64.0
Brisbane|2017-01-04|Winter|19.0|13.0|44.0
Perth|2017-01-04|Winter|12.0|17.0|63.0
Wollongong|2017-01-05|Rainy|16.0|17.0|47.0
Gold Coast|2017-01-05|Sunny|31.0|4.0|51.0
Hobart|2017-01-05|Winter|18.0|17.0|44.0
Canberra|2017-01-05|Winter|13.0|32.0|51.0
Darwin|2017-01-05|Winter|18.0|5.0|49.0
Sydney|2017-01-05|Winter|14.0|14.0|42.0
Melbourne|2017-01-05|Sunny|27.0|4.0|66.0
Adelaide|2017-01-05|Rainy|14.0|3.0|68.0
Brisbane|2017-01-05|Rainy|12.0|9.0|51.0
Perth|2017-01-05|Winter|19.0|11.0|51.0
Wollongong|2017-01-06|Rainy|17.0|23.0|59.0
Gold Coast|2017-01-06|Rainy|14.0|14.0|45.0
Hobart|2017-01-06|Winter|18.0|5.0|69.0
Canberra|2017-01-06|Rainy|13.0|22.0|47.0
Darwin|2017-01-06|Rainy|18.0|32.0|46.0
Sydney|2017-01-06|Rainy|21.0|26.0|48.0
Melbourne|2017-01-06|Rainy|14.0|7.0|56.0
Adelaide|2017-01-06|Sunny|18.0|14.0|64.0
Brisbane|2017-01-06|Winter|16.0|26.0|45.0
Perth|2017-01-06|Sunny|30.0|29.0|47.0
Wollongong|2017-01-07|Rainy|18.0|18.0|57.0
Gold Coast|2017-01-07|Sunny|25.0|28.0|46.0
Hobart|2017-01-07|Rainy|17.0|4.0|45.0
Canberra|2017-01-07|Winter|17.0|6.0|52.0
Darwin|2017-01-07|Rainy|21.0|5.0|65.0
Sydney|2017-01-07|Winter|14.0|26.0|70.0
Melbourne|2017-01-07|Sunny|20.0|31.0|41.0
Adelaide|2017-01-07|Sunny|22.0|32.0|46.0
Brisbane|2017-01-07|Winter|12.0|29.0|53.0
Perth|2017-01-07|Sunny|28.0|20.0|45.0
Wollongong|2017-01-08|Rainy|13.0|32.0|41.0
Gold Coast|2017-01-08|Rainy|12.0|16.0|70.0
Hobart|2017-01-08|Rainy|13.0|25.0|67.0
Canberra|2017-01-08|Rainy|15.0|4.0|57.0
Darwin|2017-01-08|Sunny|23.0|2.0|66.0
Sydney|2017-01-08|Sunny|17.0|31.0|66.0
Melbourne|2017-01-08|Rainy|17.0|14.0|68.0
Adelaide|2017-01-08|Sunny|24.0|18.0|41.0
Brisbane|2017-01-08|Winter|12.0|25.0|63.0
Perth|2017-01-08|Sunny|30.0|20.0|48.0
Wollongong|2017-01-09|Sunny|23.0|23.0|53.0
Gold Coast|2017-01-09|Sunny|26.0|24.0|52.0
Hobart|2017-01-09|Rainy|19.0|3.0|61.0
Canberra|2017-01-09|Sunny|27.0|23.0|54.0
Darwin|2017-01-09|Sunny|22.0|21.0|66.0
Sydney|2017-01-09|Sunny|20.0|29.0|62.0
Melbourne|2017-01-09|Sunny|17.0|33.0|65.0
Adelaide|2017-01-09|Winter|20.0|17.0|47.0
Brisbane|2017-01-09|Rainy|17.0|29.0|42.0
Perth|2017-01-09|Rainy|18.0|27.0|42.0
Wollongong|2017-01-10|Rainy|19.0|23.0|53.0
Gold Coast|2017-01-10|Sunny|25.0|6.0|70.0
Hobart|2017-01-10|Sunny|20.0|20.0|52.0
Canberra|2017-01-10|Sunny|17.0|21.0|69.0
Darwin|2017-01-10|Sunny|24.0|6.0|47.0
Sydney|2017-01-10|Winter|14.0|26.0|46.0
Melbourne|2017-01-10|Winter|17.0|18.0|50.0
Adelaide|2017-01-10|Rainy|11.0|18.0|59.0
Brisbane|2017-01-10|Rainy|15.0|26.0|49.0
Perth|2017-01-10|Winter|18.0|20.0|59.0
Wollongong|2017-01-11|Sunny|20.0|25.0|55.0
Gold Coast|2017-01-11|Rainy|19.0|5.0|52.0
Hobart|2017-01-11|Winter|14.0|28.0|69.0
Canberra|2017-01-11|Rainy|17.0|20.0|67.0
Darwin|2017-01-11|Sunny|23.0|30.0|53.0
Sydney|2017-01-11|Winter|13.0|25.0|63.0
Melbourne|2017-01-11|Winter|15.0|13.0|43.0
Adelaide|2017-01-11|Rainy|13.0|23.0|60.0
Brisbane|2017-01-11|Winter|20.0|3.0|46.0
Perth|2017-01-11|Winter|12.0|15.0|61.0
Wollongong|2017-01-12|Rainy|21.0|29.0|65.0
Gold Coast|2017-01-12|Rainy|20.0|23.0|46.0
Hobart|2017-01-12|Winter|17.0|29.0|68.0
Canberra|2017-01-12|Sunny|25.0|29.0|50.0
Darwin|2017-01-12|Rainy|17.0|4.0|50.0
Sydney|2017-01-12|Rainy|14.0|8.0|58.0
Melbourne|2017-01-12|Rainy|12.0|23.0|69.0
Adelaide|2017-01-12|Winter|14.0|14.0|49.0
Brisbane|2017-01-12|Winter|18.0|28.0|68.0
Perth|2017-01-12|Rainy|15.0|23.0|54.0
Wollongong|2017-01-13|Winter|14.0|11.0|55.0
Gold Coast|2017-01-13|Rainy|13.0|31.0|53.0
Hobart|2017-01-13|Winter|17.0|5.0|45.0
Canberra|2017-01-13|Sunny|25.0|11.0|54.0
Darwin|2017-01-13|Rainy|16.0|35.0|56.0
Sydney|2017-01-13|Sunny|29.0|10.0|46.0
Melbourne|2017-01-13|Winter|17.0|20.0|58.0
Adelaide|2017-01-13|Winter|17.0|29.0|44.0
Brisbane|2017-01-13|Rainy|13.0|5.0|52.0
Perth|2017-01-13|Winter|15.0|11.0|67.0
Wollongong|2017-01-14|Winter|11.0|10.0|67.0
Gold Coast|2017-01-14|Sunny|19.0|27.0|58.0
Hobart|2017-01-14|Rainy|16.0|20.0|46.0
Canberra|2017-01-14|Rainy|13.0|19.0|60.0
Darwin|2017-01-14|Rainy|18.0|22.0|55.0
Sydney|2017-01-14|Winter|17.0|33.0|58.0
Melbourne|2017-01-14|Rainy|15.0|16.0|69.0
Adelaide|2017-01-14|Winter|20.0|6.0|54.0
Brisbane|2017-01-14|Rainy|17.0|12.0|68.0
Perth|2017-01-14|Winter|14.0|23.0|58.0
Wollongong|2017-01-15|Winter|14.0|12.0|60.0
Gold Coast|2017-01-15|Rainy|16.0|8.0|68.0
Hobart|2017-01-15|Sunny|23.0|32.0|68.0
Canberra|2017-01-15|Rainy|19.0|17.0|42.0
Darwin|2017-01-15|Winter|20.0|28.0|61.0
Sydney|2017-01-15|Sunny|22.0|18.0|68.0
Melbourne|2017-01-15|Sunny|27.0|12.0|49.0
Adelaide|2017-01-15|Winter|19.0|8.0|57.0
Brisbane|2017-01-15|Sunny|31.0|23.0|44.0
Perth|2017-01-15|Winter|17.0|35.0|67.0
Wollongong|2017-01-16|Winter|15.0|10.0|49.0
Gold Coast|2017-01-16|Sunny|25.0|12.0|50.0
Hobart|2017-01-16|Rainy|12.0|9.0|43.0
Canberra|2017-01-16|Sunny|27.0|22.0|42.0
Darwin|2017-01-16|Rainy|20.0|4.0|46.0
Sydney|2017-01-16|Sunny|26.0|17.0|46.0
Melbourne|2017-01-16|Rainy|19.0|26.0|48.0
Adelaide|2017-01-16|Winter|10.0|25.0|67.0
Brisbane|2017-01-16|Sunny|26.0|15.0|54.0
Perth|2017-01-16|Winter|16.0|17.0|62.0
Wollongong|2017-01-17|Winter|10.0|3.0|51.0
Gold Coast|2017-01-17|Winter|13.0|23.0|64.0
Hobart|2017-01-17|Sunny|18.0|6.0|48.0
Canberra|2017-01-17|Winter|16.0|34.0|65.0
Darwin|2017-01-17|Sunny|26.0|34.0|55.0
Sydney|2017-01-17|Rainy|16.0|7.0|42.0
Melbourne|2017-01-17|Rainy|10.0|11.0|66.0
Adelaide|2017-01-17|Rainy|20.0|13.0|69.0
Brisbane|2017-01-17|Rainy|12.0|12.0|47.0
Perth|2017-01-17|Rainy|16.0|29.0|44.0
Wollongong|2017-01-18|Winter|17.0|23.0|69.0
Gold Coast|2017-01-18|Rainy|16.0|26.0|63.0
Hobart|2017-01-18|Rainy|14.0|3.0|57.0
Canberra|2017-01-18|Sunny|22.0|8.0|42.0
Darwin|2017-01-18|Rainy|11.0|21.0|51.0
Sydney|2017-01-18|Rainy|20.0|17.0|41.0
Melbourne|2017-01-18|Rainy|12.0|14.0|53.0
Adelaide|2017-01-18|Sunny|21.0|16.0|55.0
Brisbane|2017-01-18|Winter|13.0|23.0|69.0
Perth|2017-01-18|Winter|15.0|36.0|67.0
Wollongong|2017-01-19|Rainy|18.0|36.0|42.0
Gold Coast|2017-01-19|Rainy|13.0|29.0|54.0
Hobart|2017-01-19|Rainy|18.0|32.0|64.0
Canberra|2017-01-19|Rainy|19.0|29.0|56.0
Darwin|2017-01-19|Sunny|25.0|33.0|48.0
Sydney|2017-01-19|Winter|19.0|35.0|63.0
Melbourne|2017-01-19|Winter|19.0|18.0|41.0
Adelaide|2017-01-19|Winter|11.0|12.0|51.0
Brisbane|2017-01-19|Rainy|11.0|32.0|58.0
Perth|2017-01-19|Rainy|14.0|3.0|62.0
Wollongong|2017-01-20|Rainy|11.0|11.0|61.0
Gold Coast|2017-01-20|Sunny|32.0|16.0|44.0
Hobart|2017-01-20|Winter|20.0|21.0|65.0
Canberra|2017-01-20|Rainy|14.0|35.0|65.0
Darwin|2017-01-20|Winter|12.0|5.0|66.0
Sydney|2017-01-20|Winter|17.0|30.0|41.0
Melbourne|2017-01-20|Rainy|10.0|32.0|68.0
Adelaide|2017-01-20|Winter|11.0|22.0|67.0
Brisbane|2017-01-20|Sunny|26.0|7.0|46.0
Perth|2017-01-20|Rainy|16.0|19.0|63.0
Wollongong|2017-01-21|Winter|15.0|33.0|58.0
Gold Coast|2017-01-21|Sunny|27.0|11.0|57.0
Hobart|2017-01-21|Rainy|15.0|6.0|53.0
Canberra|2017-01-21|Sunny|19.0|22.0|59.0
Darwin|2017-01-21|Rainy|10.0|11.0|45.0
Sydney|2017-01-21|Winter|13.0|9.0|65.0
Melbourne|2017-01-21|Rainy|10.0|17.0|49.0
Adelaide|2017-01-21|Rainy|17.0|9.0|52.0
Brisbane|2017-01-21|Sunny|32.0|9.0|46.0
Perth|2017-01-21|Rainy|14.0|18.0|52.0
Wollongong|2017-01-22|Rainy|17.0|14.0|42.0
Gold Coast|2017-01-22|Sunny|19.0|34.0|43.0
Hobart|2017-01-22|Winter|11.0|17.0|64.0
Canberra|2017-01-22|Winter|16.0|3.0|60.0
Darwin|2017-01-22|Rainy|10.0|5.0|60.0
Sydney|2017-01-22|Rainy|19.0|26.0|40.0
Melbourne|2017-01-22|Sunny|21.0|30.0|51.0
Adelaide|2017-01-22|Winter|18.0|21.0|67.0
Brisbane|2017-01-22|Sunny|18.0|4.0|63.0
Perth|2017-01-22|Winter|16.0|3.0|52.0
Wollongong|2017-01-23|Sunny|17.0|35.0|53.0
Gold Coast|2017-01-23|Rainy|18.0|7.0|57.0
Hobart|2017-01-23|Winter|18.0|24.0|63.0
Canberra|2017-01-23|Winter|18.0|11.0|56.0
Darwin|2017-01-23|Sunny|18.0|10.0|54.0
Sydney|2017-01-23|Rainy|19.0|14.0|46.0
Melbourne|2017-01-23|Winter|20.0|23.0|69.0
Adelaide|2017-01-23|Sunny|25.0|5.0|43.0
Brisbane|2017-01-23|Winter|17.0|31.0|58.0
Perth|2017-01-23|Sunny|21.0|30.0|65.0
Wollongong|2017-01-24|Rainy|19.0|25.0|43.0
Gold Coast|2017-01-24|Rainy|20.0|31.0|55.0
Hobart|2017-01-24|Winter|11.0|19.0|44.0
Canberra|2017-01-24|Rainy|20.0|25.0|67.0
Darwin|2017-01-24|Sunny|19.0|11.0|63.0
Sydney|2017-01-24|Winter|12.0|17.0|67.0
Melbourne|2017-01-24|Sunny|23.0|6.0|63.0
Adelaide|2017-01-24|Sunny|24.0|5.0|47.0
Brisbane|2017-01-24|Sunny|20.0|13.0|63.0
Perth|2017-01-24|Winter|11.0|23.0|59.0
Wollongong|2017-01-25|Winter|16.0|9.0|68.0
Gold Coast|2017-01-25|Sunny|31.0|36.0|41.0
Hobart|2017-01-25|Rainy|15.0|29.0|60.0
Canberra|2017-01-25|Winter|16.0|21.0|57.0
Darwin|2017-01-25|Rainy|14.0|13.0|47.0
Sydney|2017-01-25|Rainy|13.0|17.0|67.0
Melbourne|2017-01-25|Rainy|19.0|4.0|53.0
Adelaide|2017-01-25|Winter|13.0|3.0|45.0
Brisbane|2017-01-25|Rainy|20.0|25.0|49.0
Perth|2017-01-25|Rainy|12.0|7.0|53.0
Wollongong|2017-01-26|Winter|15.0|35.0|65.0
Gold Coast|2017-01-26|Rainy|17.0|36.0|49.0
Hobart|2017-01-26|Sunny|30.0|31.0|42.0
Canberra|2017-01-26|Rainy|10.0|8.0|48.0
Darwin|2017-01-26|Rainy|19.0|27.0|45.0
Sydney|2017-01-26|Winter|11.0|19.0|57.0
Melbourne|2017-01-26|Winter|14.0|12.0|50.0
Adelaide|2017-01-26|Sunny|20.0|4.0|61.0
Brisbane|2017-01-26|Sunny|31.0|12.0|68.0
Perth|2017-01-26|Sunny|28.0|28.0|65.0
Wollongong|2017-01-27|Winter|12.0|26.0|53.0
Gold Coast|2017-01-27|Rainy|14.0|21.0|52.0
Hobart|2017-01-27|Winter|16.0|31.0|59.0
Canberra|2017-01-27|Winter|20.0|30.0|50.0
Darwin|2017-01-27|Rainy|15.0|13.0|52.0
Sydney|2017-01-27|Winter|14.0|15.0|65.0
Melbourne|2017-01-27|Rainy|12.0|13.0|62.0
Adelaide|2017-01-27|Rainy|20.0|36.0|49.0
Brisbane|2017-01-27|Rainy|15.0|6.0|49.0
Perth|2017-01-27|Winter|11.0|24.0|49.0
Wollongong|2017-01-28|Rainy|21.0|7.0|63.0
Gold Coast|2017-01-28|Sunny|19.0|20.0|69.0
Hobart|2017-01-28|Sunny|20.0|36.0|46.0
Canberra|2017-01-28|Winter|13.0|17.0|53.0
Darwin|2017-01-28|Rainy|12.0|22.0|69.0
Sydney|2017-01-28|Sunny|20.0|28.0|52.0
